	Catust	Macreg	Manman	Pipcor	Pippip	Tacsur	Tansch	Artgno	Artjam	Artlit	Artobs	Carbre	Carcas	Carper	Phyhas	Rhipum	Stulil	Urobil
Alctri	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ama	0	0	0	0	0	0	0	0	0	0	0	1	1	9	0	1	0	0
Antaca	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Antsp	0	0	0	0	0	0	0	2	1	0	0	2	1	3	1	0	0	0
Ara1	0	0	0	0	1	0	0	0	0	0	0	9	1	4	0	1	0	0
Ara2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cac1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cecdis	0	0	0	0	0	0	0	0	2	6	0	2	0	4	49	2	1	0
Cecfic	0	0	0	0	0	0	0	3	12	18	19	17	1	29	5	2	4	1
Cecmem	0	0	0	0	0	0	0	0	0	5	0	1	1	2	32	0	0	0
Cecsci	0	0	0	0	0	0	0	0	1	0	0	0	0	2	10	0	0	0
Cliepi	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clihir	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Clijap	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Clusp	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Codsp	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coupar	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0
Cousp	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Couvil	1	0	0	0	0	1	0	1	1	0	0	0	0	2	1	0	0	0
Crosch	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuc1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Dil1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ficame	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Ficsp	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Ficsp1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
Ficsp2	0	0	0	0	0	0	0	0	4	2	2	2	2	3	0	0	0	4
Ficsp3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2
Ficsp4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Ficsp9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ges1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Guracu	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
Gut1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	1	0
Havfla	0	0	0	0	5	1	1	0	1	0	0	2	0	1	0	0	0	0
Hensp	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Irygra	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lorarb	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Marsp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Marsp3	0	0	0	1	5	1	2	0	0	0	0	2	0	2	0	1	0	0
Mar1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mel1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Mel2	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Micdol	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0
Micduc	3	2	4	4	24	4	0	0	0	0	0	0	0	0	0	0	0	0
Micmin	0	1	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Micpha	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Micpoe	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Micspl	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micter	0	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Mictet	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Micwit	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Ossara	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Osscuc	0	3	1	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0
Palpun	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Pas1	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0
Pas2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Phisp	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
Phicun	0	0	0	1	1	1	0	0	0	0	0	3	0	1	0	4	0	0
Physp	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Phyriv	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0
Pipadu	0	0	0	0	0	0	0	0	1	1	0	51	18	127	3	0	1	1
Piparb	0	0	0	0	0	0	0	0	1	0	0	8	6	17	0	0	0	1
Pipsp1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0
Pipsp2	0	0	0	0	0	0	0	0	0	0	0	5	1	9	0	0	0	0
Pipsp3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Pip1	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	0	0
Pip2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
Pot	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0
Psyalb	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Psydef	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psysp	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Rub1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Soljam	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Sollan	0	0	0	0	0	0	0	0	0	0	0	4	1	13	0	0	2	3
Solsp	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0
Sorsp	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sougui	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
Thobis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tocdis	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Tocgui	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uni1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
uni2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uni3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Visang	0	0	0	0	0	0	0	3	3	2	0	80	9	152	1	13	0	1
Vismac	0	0	0	0	0	0	0	1	0	1	0	11	3	35	0	3	0	0
Vissp1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Vissp2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
